country,year,sex,age,suicides_no,population,suicides_per_100k
Albania,2013,male,5-14 years,7,204865.0,3.416884289654162
Albania,2013,male,55-74 years,7,267905.0,2.6128665011851213
Albania,2013,male,75+ years,7,59113.0,11.84172686211155
Albania,2014,female,15-24 years,7,224883.0,3.112729730571008
Albania,2014,female,25-34 years,7,195460.0,3.5812954057096085
Albania,2014,female,35-54 years,7,399197.0,1.7535201917850083
Albania,2014,female,5-14 years,7,177838.0,3.9361666235562702
Albania,2014,female,55-74 years,7,278887.0,2.509977159207851
Albania,2014,female,75+ years,7,73945.0,9.466495368179052
Albania,2014,male,15-24 years,7,250345.0,2.7961413249715394
Albania,2014,male,25-34 years,7,213828.0,3.2736592027236844
Albania,2014,male,35-54 years,7,373493.0,1.8741984454862608
Albania,2014,male,5-14 years,7,194554.0,3.597972799325637
Albania,2014,male,55-74 years,7,277604.0,2.5215774988833015
Albania,2014,male,75+ years,7,61678.0,11.349265540387172
Albania,2015,female,15-24 years,7,212324.0,3.2968482131082686
Albania,2015,female,25-34 years,7,199024.0,3.517163759144626
Albania,2015,female,35-54 years,7,400275.0,1.7487977015801637
Albania,2015,female,5-14 years,7,168140.0,4.163197335553705
Albania,2015,female,55-74 years,7,289055.0,2.4216844545155767
Albania,2015,female,75+ years,7,76861.0,9.10734963115234
Albania,2015,male,15-24 years,7,240777.0,2.907254430448091
Albania,2015,male,25-34 years,7,222680.0,3.1435243398598884
Albania,2015,male,35-54 years,7,374464.0,1.869338574602632
Albania,2015,male,5-14 years,7,184114.0,3.8019922439358225
Albania,2015,male,55-74 years,7,287770.0,2.4324981756263684
Albania,2015,male,75+ years,7,64200.0,10.903426791277258
Antigua and Barbuda,1983,female,15-24 years,0,7882.0,0.0
Antigua and Barbuda,1983,female,25-34 years,0,6341.0,0.0
Antigua and Barbuda,1983,female,35-54 years,0,6284.0,0.0
Antigua and Barbuda,1983,female,5-14 years,0,8119.0,0.0
Antigua and Barbuda,1983,female,55-74 years,0,3729.0,0.0
Antigua and Barbuda,1983,female,75+ years,0,904.0,0.0
Antigua and Barbuda,1983,male,15-24 years,0,7932.0,0.0
Antigua and Barbuda,1983,male,25-34 years,0,6317.0,0.0
Antigua and Barbuda,1983,male,35-54 years,0,5929.0,0.0
Antigua and Barbuda,1983,male,5-14 years,0,8165.0,0.0
Antigua and Barbuda,1983,male,55-74 years,0,2700.0,0.0
Antigua and Barbuda,1983,male,75+ years,0,389.0,0.0
Antigua and Barbuda,1985,female,15-24 years,0,7709.0,0.0
Antigua and Barbuda,1985,female,25-34 years,0,6344.0,0.0
Antigua and Barbuda,1985,female,35-54 years,0,6173.0,0.0
Antigua and Barbuda,1985,female,5-14 years,0,7339.0,0.0
Antigua and Barbuda,1985,female,55-74 years,0,3778.0,0.0
Antigua and Barbuda,1985,female,75+ years,0,949.0,0.0
Antigua and Barbuda,1985,male,15-24 years,0,7667.0,0.0
Antigua and Barbuda,1985,male,25-34 years,0,6194.0,0.0
Antigua and Barbuda,1985,male,35-54 years,0,5970.0,0.0
Antigua and Barbuda,1985,male,5-14 years,0,7304.0,0.0
Antigua and Barbuda,1985,male,55-74 years,0,2723.0,0.0
Antigua and Barbuda,1985,male,75+ years,0,424.0,0.0
Antigua and Barbuda,1986,female,15-24 years,0,7668.0,0.0
Antigua and Barbuda,1986,female,25-34 years,0,6209.0,0.0
Antigua and Barbuda,1986,female,35-54 years,0,6101.0,0.0
Antigua and Barbuda,1986,female,5-14 years,0,6907.0,0.0
Antigua and Barbuda,1986,female,55-74 years,0,3764.0,0.0
Antigua and Barbuda,1986,female,75+ years,0,1014.0,0.0
Antigua and Barbuda,1986,male,15-24 years,0,7563.0,0.0
Antigua and Barbuda,1986,male,25-34 years,0,6023.0,0.0
Antigua and Barbuda,1986,male,35-54 years,0,5947.0,0.0
Antigua and Barbuda,1986,male,5-14 years,0,6827.0,0.0
Antigua and Barbuda,1986,male,55-74 years,0,2771.0,0.0
Antigua and Barbuda,1986,male,75+ years,0,476.0,0.0
Antigua and Barbuda,1987,female,15-24 years,0,7583.0,0.0
Antigua and Barbuda,1987,female,25-34 years,0,6101.0,0.0
Antigua and Barbuda,1987,female,35-54 years,0,6059.0,0.0
Antigua and Barbuda,1987,female,5-14 years,0,6623.0,0.0
Antigua and Barbuda,1987,female,55-74 years,0,3738.0,0.0
Antigua and Barbuda,1987,female,75+ years,0,1081.0,0.0
Antigua and Barbuda,1987,male,15-24 years,0,7421.0,0.0
Antigua and Barbuda,1987,male,25-34 years,0,5893.0,0.0
Antigua and Barbuda,1987,male,35-54 years,0,5927.0,0.0
Antigua and Barbuda,1987,male,5-14 years,0,6499.0,0.0
Antigua and Barbuda,1987,male,55-74 years,0,2798.0,0.0
Antigua and Barbuda,1987,male,75+ years,0,538.0,0.0
Antigua and Barbuda,1988,female,15-24 years,0,7413.0,0.0
Antigua and Barbuda,1988,female,25-34 years,0,6041.0,0.0
Antigua and Barbuda,1988,female,35-54 years,0,6021.0,0.0
Antigua and Barbuda,1988,female,5-14 years,0,6527.0,0.0
Antigua and Barbuda,1988,female,55-74 years,0,3708.0,0.0
Antigua and Barbuda,1988,female,75+ years,0,1141.0,0.0
Antigua and Barbuda,1988,male,15-24 years,0,7209.0,0.0
Antigua and Barbuda,1988,male,25-34 years,0,5826.0,0.0
Antigua and Barbuda,1988,male,35-54 years,0,5907.0,0.0
Antigua and Barbuda,1988,male,5-14 years,0,6355.0,0.0
Antigua and Barbuda,1988,male,55-74 years,0,2813.0,0.0
Antigua and Barbuda,1988,male,75+ years,0,603.0,0.0
Antigua and Barbuda,1989,female,15-24 years,0,7152.0,0.0
Antigua and Barbuda,1989,female,25-34 years,0,6059.0,0.0
Antigua and Barbuda,1989,female,35-54 years,0,5969.0,0.0
Antigua and Barbuda,1989,female,5-14 years,0,6621.0,0.0
Antigua and Barbuda,1989,female,55-74 years,0,3696.0,0.0
Antigua and Barbuda,1989,female,75+ years,0,1195.0,0.0
Antigua and Barbuda,1989,male,15-24 years,0,6927.0,0.0
Antigua and Barbuda,1989,male,25-34 years,0,5835.0,0.0
Antigua and Barbuda,1989,male,35-54 years,0,5862.0,0.0
Antigua and Barbuda,1989,male,5-14 years,0,6403.0,0.0
Antigua and Barbuda,1989,male,55-74 years,0,2843.0,0.0
Antigua and Barbuda,1989,male,75+ years,0,676.0,0.0
Antigua and Barbuda,1990,female,15-24 years,0,6827.0,0.0
Antigua and Barbuda,1990,female,25-34 years,0,6172.0,0.0
Antigua and Barbuda,1990,female,35-54 years,0,5895.0,0.0
Antigua and Barbuda,1990,female,5-14 years,0,6877.0,0.0
Antigua and Barbuda,1990,female,55-74 years,0,3706.0,0.0
Antigua and Barbuda,1990,female,75+ years,0,1252.0,0.0
Antigua and Barbuda,1990,male,15-24 years,0,6598.0,0.0
Antigua and Barbuda,1990,male,25-34 years,0,5937.0,0.0
Antigua and Barbuda,1990,male,35-54 years,1,5799.0,17.24435247456458
